左边为始发站，右边是终点站,Kennedy Town,HKU,Sai Ying Pun, Sheung Wan,Central,Admiralty,Wan Chai, Causeway Bay,Tin Hau, Fortress Hill, North Point,Quarry Bay,Tai Koo,Sai Wan Ho,Shau Kei Wan,Heng Fa Chuen,Chai Wan,Admiralty,Ocean Park,Wong Chuk Hang,Lei Tung,South Horizons, Centra,Admiralty,Tsim Sha Tsui,Jordan,Yau Ma Tei,Mong Kok,Prince Edward,Sham Shui Po,Cheung Sha Wan,Lai Chi Kok,Mei Foo,Lai King,Kwai Fong,Kwai Hing,Tai Wo Hau,Tsuen Wan,Whampoa,Ho Man Tin,Yau Ma Tei,Mong Kok,Prince Edward,Shek Kip Mei,Kowloon Tong,Lok Fu,Wong Tai Sin,Diamond Hill,Choi Hung,Kowloon Bay,Ngau Tau Kok,Kwun Tong,Lam Tin,Yau Tong,Tiu Keng Leng,North Point,Quarry Bay,Yau Tong,Tiu Keng Leng,Tseung Kwan O,Hang Hau,Po Lam,LOHAS Park,Hong Kong,Kowloon,Olympic,Nam Cheong,Lai King,Tsing Yi,Sunny Bay,Tung Chung,Disneyland Resort,Sunny Bay,Hung Hom,Mong Kok East,Kowloon Tong,Tai Wai,Sha Tin,Fo Tan,Racecourse,University,Tai Po Market,Tai Wo,Fanling,Sheung Shui,Lo Wu,Lok Ma Chau,Tuen Mun,Siu Hong,Tin Shui Wai,Long Ping,Yuen Long,Kam Sheung Road,Tsuen Wan West,Mei Foo,Nam Cheong,Austin,East Tsim Sha Tsui,Hung Hom,Kai Tak,Diamond Hill,Hin Keng,Tai Wai,Che Kung Temple,Sha Tin Wai,City One,Shek Mun,Tai Shui Hang,Heng On,Ma On Shan,Wu Kai Sha,,
Mong Kok,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,15.2,15.2,12.7,12.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,8.8,8.8,10.7,12.7,15.2,8.8,10.7,10.7,10.7,10.7,10.7,12.7,4.8,4.8,4.8,7.1,8.8,15.3,18,21.5,15.3,5.7,4.8,5.7,9.3,9.3,9.8,16.9,10.5,12.3,12.3,13.1,13.1,43.9,43.9,20.1,20.1,20.1,20.1,20.1,18.2,8.9,7.1,4.8,4.8,5.7,5.7,7.1,7.1,9.3,9.3,9.5,9.5,9.5,9.5,11.5,11.5,11.5,11.5,,
Prince Edward,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,15.2,15.2,15.2,12.7,12.7,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,8.8,10.7,15.2,15.2,8.8,10.7,10.7,10.7,10.7,10.7,12.7,5.7,4.8,4.8,7.1,8.8,15.3,18,21.5,15.3,5.7,4.8,4.8,8.2,8.2,8.8,16.5,9.5,11.3,11.3,12.1,12.1,43,43,19.9,19.9,19.9,19.9,19.9,18,8.3,5.7,4.8,5.7,5.7,5.7,5.7,7.1,8.2,8.2,8.3,8.3,8.3,8.3,10.4,10.4,10.4,10.4,,
Sham Shui Po,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,15.2,15.2,15.2,15.2,12.7,12.7,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,7.1,5.7,5.7,4.8,4.8,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,10.7,10.7,15.2,15.2,10.7,10.7,10.7,10.7,10.7,10.7,12.7,5.7,4.8,4.8,5.7,7.1,12.7,15.3,18,12.7,5.7,5.7,4.8,8.2,8.2,8.8,16.5,9.5,11.3,11.3,12.1,12.1,43,43,19.9,19.9,19.9,19.9,19.9,18,8.3,5.7,4.8,5.7,7.1,5.7,7.1,7.1,8.2,8.2,8.3,8.3,8.3,8.3,10.4,10.4,10.4,10.4,,
Cheung Sha Wan,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,15.2,15.2,15.2,15.2,12.7,12.7,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,7.1,7.1,5.7,5.7,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,8.8,10.7,10.7,15.2,15.2,10.7,10.7,10.7,10.7,10.7,10.7,12.7,7.1,5.7,4.8,5.7,7.1,12.7,15.3,18,12.7,6.8,6.8,5.7,9.3,9.3,9.8,17.7,10.5,12.3,12.3,13.1,13.1,43.9,43.9,18.2,18.2,18.2,18.2,18.2,16.9,7.2,4.8,4.8,7.1,7.1,6.8,7.1,7.1,9.3,9.3,9.5,9.5,9.5,9.5,11.5,11.5,11.5,11.5,,
Lai Chi Kok,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.6,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.6,7.1,7.1,5.7,5.7,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,8.8,8.8,10.7,10.7,15.2,15.2,10.7,10.7,10.7,10.7,10.7,10.7,15.2,7.1,5.7,4.8,4.8,5.7,12.7,15.3,18,12.7,6.8,6.8,5.7,9.3,9.3,9.8,17.7,10.5,12.3,12.3,13.1,13.1,43.9,43.9,18.2,18.2,18.2,18.2,18.2,16.9,7.2,4.8,4.8,7.1,8.6,6.8,8.6,8.8,9.3,9.3,9.5,9.5,9.5,9.5,11.5,11.5,11.5,11.5,,
Mei Foo,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.6,8.6,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,8.6,8.6,7.1,7.1,5.7,5.7,7.1,7.1,8.8,8.8,8.8,10.7,10.7,10.7,10.7,10.7,10.7,15.2,15.2,10.7,10.7,10.7,10.7,10.7,10.7,15.2,8.8,7.1,5.7,4.8,5.7,12.7,15.3,18,12.7,8.6,8.6,7.1,10.7,10.7,11.3,18.8,11.9,12.9,12.9,14.5,14.5,45.2,45.2,16.2,16.2,16.2,16.2,16.2,15.2,6.9,,5.7,8.6,8.6,8.6,8.6,8.8,10.7,10.7,10.8,10.8,10.8,10.8,12.8,12.8,12.8,12.8,,
Lai King,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,10.7,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,10.7,8.8,8.8,7.1,7.1,7.1,7.1,8.8,8.8,8.8,10.7,10.7,10.7,10.7,10.7,10.7,10.7,15.2,15.2,10.7,10.7,10.7,10.7,12.7,12.7,15.2,8.8,7.1,5.7,,4.8,12.7,15.3,18,12.7,8.1,8.1,7.1,10.7,10.7,11.3,18.8,11.9,12.9,12.9,14.5,14.5,45.2,45.2,18.2,18.2,18.2,18.2,18.2,16.9,5.7,4.8,5.7,8.8,10.7,8.1,8.8,8.8,10.7,10.7,10.8,10.8,10.8,10.8,12.8,12.8,12.8,12.8,,
Kwai Fong,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,10.7,10.7,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,10.7,10.7,8.8,8.8,7.1,7.1,8.8,8.8,8.8,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,15.2,15.2,10.7,10.7,10.7,12.7,12.7,12.7,15.2,10.7,8.8,7.1,4.8,4.8,12.7,15.3,18,12.7,9.7,9.7,8.8,11.8,11.8,12.1,21.2,12.8,14.5,14.5,16.8,16.8,46.7,46.7,18.2,18.2,18.2,18.2,18.2,16.9,5.7,4.8,7.1,10.7,10.7,9.7,10.7,10.7,11.8,11.8,11.8,11.8,11.8,11.8,15.3,15.3,15.3,15.3,,
Kwai Hing,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,10.7,10.7,10.7,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,10.7,10.7,10.7,8.8,8.8,8.8,8.8,8.8,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,15.2,15.2,10.7,10.7,12.7,12.7,12.7,12.7,15.2,10.7,8.8,7.1,4.8,4.8,12.7,15.3,18,12.7,9.7,9.7,8.8,11.8,11.8,12.1,21.2,12.8,14.5,14.5,16.8,16.8,46.7,46.7,19.9,19.9,19.9,19.9,19.9,18,5.7,5.7,7.1,10.7,10.7,9.7,10.7,10.7,11.8,11.8,11.8,11.8,11.8,11.8,15.3,15.3,15.3,15.3,,
Tai Wo Hau,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,10.7,10.7,10.7,8.8,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,10.7,10.7,10.7,8.8,8.8,8.8,8.8,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,12.7,15.2,15.2,10.7,12.7,12.7,12.7,12.7,12.7,15.2,10.7,8.8,8.8,5.7,4.8,12.7,15.3,18,12.7,9.7,9.7,8.8,11.8,11.8,12.1,21.2,12.8,14.5,14.5,16.8,16.8,46.7,46.7,19.9,19.9,19.9,19.9,19.9,18,4.8,5.7,8.8,10.7,10.7,9.7,10.7,10.7,11.8,11.8,11.8,11.8,11.8,11.8,15.3,15.3,15.3,15.3,,
Tsuen Wan,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,10.7,10.7,10.7,8.8,8.8,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,10.7,10.7,10.7,8.8,8.8,8.8,8.8,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,12.7,12.7,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,15.2,10.7,8.8,8.8,5.7,4.8,12.7,15.3,18,12.7,9.7,9.7,8.8,11.8,11.8,12.1,21.2,12.8,14.5,14.5,16.8,16.8,46.7,46.7,21.2,21.2,21.2,21.2,21.2,20.1,4.8,7.1,8.8,10.7,10.7,9.7,10.7,10.7,11.8,11.8,11.8,11.8,11.8,11.8,15.3,15.3,15.3,15.3,,
Whampoa,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,15.2,15.2,15.2,12.7,12.7,5.7,5.7,4.8,5.7,5.7,7.1,7.1,8.6,8.6,10.7,10.7,10.7,10.7,10.7,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,10.7,15.2,15.2,8.8,10.7,10.7,10.7,10.7,10.7,12.7,6,6,6,10.7,10.7,15.3,18,21.5,15.3,4.8,5.7,7.1,9.8,9.8,10.7,16.9,10.7,12.9,12.9,14.4,14.4,45.2,45.2,22.2,22.2,22.2,22.2,22.2,21.2,10.7,8.6,6,6,5.7,4.8,5.7,8.8,9.8,9.8,10.8,10.8,10.8,10.8,13.7,13.7,13.7,13.7,,
Ho Man Tin,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,15.2,15.2,12.7,12.7,5.7,4.8,4.8,4.8,5.7,5.7,7.1,7.1,8.6,8.8,10.7,10.7,10.7,10.7,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,10.7,12.7,15.2,8.8,10.7,10.7,10.7,10.7,10.7,12.7,6,6,6,8.8,10.7,15.3,18,21.5,15.3,4.8,5.7,7.1,9.8,9.8,10.7,16.9,10.7,12.9,12.9,14.4,14.4,45.2,45.2,21.1,21.1,21.1,21.1,21.1,19.9,9.9,8.6,6,6,5.7,4.8,5.7,8.8,9.8,9.8,10.8,10.8,10.8,10.8,12.8,12.8,12.8,12.8,,
Yau Ma Tei,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,15.2,12.7,12.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,10.7,10.7,10.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,8.8,8.8,8.8,10.7,12.7,12.7,8.8,10.7,10.7,10.7,10.7,10.7,12.7,4.8,4.8,5.7,8.8,10.7,15.3,18,21.5,15.3,5.7,5.7,5.7,9.3,9.3,9.8,16.9,10.5,12.3,12.3,13.1,13.1,43.9,43.9,21.1,21.1,21.1,21.1,21.1,19.9,9.7,7.1,5.7,4.8,4.8,5.7,5.7,8.8,9.3,9.3,9.5,9.5,9.5,9.5,11.5,11.5,11.5,11.5,,
Mong Kok,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,15.2,15.2,12.7,12.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,8.8,8.8,10.7,12.7,15.2,8.8,10.7,10.7,10.7,10.7,10.7,12.7,4.8,4.8,4.8,7.1,8.8,15.3,18,21.5,15.3,5.7,4.8,5.7,9.3,9.3,9.8,16.9,10.5,12.3,12.3,13.1,13.1,43.9,43.9,20.1,20.1,20.1,20.1,20.1,18.2,8.9,7.1,4.8,4.8,5.7,5.7,7.1,7.1,9.3,9.3,9.5,9.5,9.5,9.5,11.5,11.5,11.5,11.5,,
Prince Edward,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,15.2,15.2,15.2,12.7,12.7,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,8.8,10.7,15.2,15.2,8.8,10.7,10.7,10.7,10.7,10.7,12.7,5.7,4.8,4.8,7.1,8.8,15.3,18,21.5,15.3,5.7,4.8,4.8,8.2,8.2,8.8,16.5,9.5,11.3,11.3,12.1,12.1,43,43,19.9,19.9,19.9,19.9,19.9,18,8.3,5.7,4.8,5.7,5.7,5.7,5.7,7.1,8.2,8.2,8.3,8.3,8.3,8.3,10.4,10.4,10.4,10.4,,
Shek Kip Mei,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,15.2,15.2,15.2,15.2,12.7,12.7,7.1,5.7,5.7,4.8,4.8,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,10.7,15.2,15.2,8.8,10.7,10.7,10.7,10.7,10.7,12.7,5.7,4.8,4.8,7.1,8.8,15.3,18,21.5,15.3,5.7,5.7,4.8,8.2,8.2,8.8,16.5,9.5,11.3,11.3,12.1,12.1,43,43,19.9,19.9,19.9,19.9,19.9,18,8.3,5.7,4.8,5.7,7.1,5.7,5.7,5.7,8.2,8.2,8.3,8.3,8.3,8.3,10.4,10.4,10.4,10.4,,
Kowloon Tong,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,15.2,15.2,15.2,15.2,12.7,12.7,7.1,7.1,5.7,5.7,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,7.1,8.8,8.8,8.8,15.2,15.2,8.8,8.8,10.7,10.7,10.7,10.7,12.7,7.1,5.7,4.8,7.1,8.8,15.3,18,21.5,15.3,3.9,,3.9,6.3,6.3,6.9,14.3,7.5,9.5,9.5,10.7,10.7,40.3,40.3,20.1,20.1,20.1,20.1,20.1,18.2,8.9,7.1,4.8,7.1,7.1,3.9,5.7,5.7,8.2,6.3,7.8,7.8,7.8,7.8,10.4,10.4,10.4,10.4,,
Lok Fu,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,7.1,7.1,5.7,5.7,5.7,5.7,7.1,7.1,8.8,8.8,8.8,10.7,10.7,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,7.1,8.8,8.8,15.2,15.2,8.8,8.8,8.8,10.7,10.7,10.7,15.2,7.1,5.7,5.7,8.8,8.8,15.3,18,21.5,15.3,5.7,5.7,4.8,8.2,8.2,8.8,16.5,9.5,11.3,11.3,12.1,12.1,43,43,21.1,21.1,21.1,21.1,21.1,19.9,9.7,7.1,5.7,7.1,8.8,5.7,5.7,4.8,8.2,8.2,8.3,8.3,8.3,8.3,10.4,10.4,10.4,10.4,,
Wong Tai Sin,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,8.8,7.1,7.1,5.7,5.7,7.1,7.1,8.8,8.8,8.8,10.7,10.7,10.7,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,12.7,12.7,8.8,8.8,8.8,8.8,10.7,10.7,15.2,8.8,7.1,5.7,8.8,10.7,15.3,18,21.5,15.3,5.7,5.7,4.8,8.2,8.2,8.8,16.5,9.5,11.3,11.3,12.1,12.1,43,43,21.1,21.1,21.1,21.1,21.1,19.9,9.9,8.8,5.7,8.8,8.8,5.7,4.8,4.8,8.2,8.2,8.3,8.3,8.3,8.3,10.4,10.4,10.4,10.4,,
Diamond Hill,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,8.8,8.8,7.1,7.1,7.1,7.1,8.8,8.8,8.8,10.7,10.7,10.7,10.7,8.8,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,12.7,12.7,7.1,8.8,8.8,8.8,8.8,8.8,15.2,8.8,7.1,7.1,8.8,10.7,15.3,18,21.5,15.3,6.8,6.8,5.7,9.3,9.3,9.8,17.7,10.5,12.3,12.3,13.1,13.1,43.9,43.9,22.2,22.2,22.2,22.2,22.2,21.2,10.7,8.8,7.1,8.8,8.8,6.8,4.8,,8.2,9.3,9.5,9.5,9.5,9.5,11.5,11.5,11.5,11.5,,
Choi Hung,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,8.8,8.8,8.8,7.1,7.1,8.8,8.8,8.8,10.7,10.7,10.7,10.7,10.7,8.8,8.8,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,4.8,5.7,7.1,7.1,12.7,12.7,7.1,7.1,8.8,8.8,8.8,8.8,15.2,8.8,8.8,7.1,10.7,10.7,18,21.5,23.6,18,6.8,6.8,5.7,9.3,9.3,9.8,17.7,10.5,12.3,12.3,13.1,13.1,43.9,43.9,22.2,22.2,22.2,22.2,22.2,21.2,10.7,8.8,7.1,8.8,8.8,6.8,4.8,4.8,9.3,9.3,9.5,9.5,9.5,9.5,11.5,11.5,11.5,11.5,,
Kowloon Bay,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,10.3,10.3,10.3,10.3,10.3,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,10.7,10.7,10.7,10.7,10.7,10.7,8.8,8.8,8.8,8.8,8.8,8.8,7.1,7.1,5.7,5.7,4.8,,4.8,4.8,4.8,5.7,5.7,10.3,10.3,5.7,5.7,7.1,7.1,8.8,8.8,15.2,8.8,8.8,8.8,10.7,10.7,18,21.5,23.6,18,8.1,8.1,7.1,10.7,10.7,11.3,18.8,11.9,12.9,12.9,14.5,14.5,45.2,45.2,24.2,24.2,24.2,24.2,24.2,22.7,12.3,10.7,8.8,8.8,8.8,8.1,5.7,5.7,10.7,10.7,10.8,10.8,10.8,10.8,12.8,12.8,12.8,12.8,,
Ngau Tau Kok,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,10.3,10.3,10.3,10.3,10.3,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,10.7,10.7,10.7,10.7,10.7,10.7,8.8,8.8,8.8,8.8,8.8,8.8,7.1,7.1,7.1,5.7,4.8,4.8,,4.8,4.8,4.8,5.7,10.3,10.3,4.8,5.7,5.7,7.1,7.1,7.1,15.2,8.8,8.8,8.8,10.7,10.7,18,21.5,23.6,18,8.1,8.1,7.1,10.7,10.7,11.3,18.8,11.9,12.9,12.9,14.5,14.5,45.2,45.2,24.2,24.2,24.2,24.2,24.2,22.7,12.3,10.7,8.8,8.8,8.8,8.1,7.1,5.7,10.7,10.7,10.8,10.8,10.8,10.8,12.8,12.8,12.8,12.8,,
Kwun Tong,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,10.3,10.3,10.3,10.3,10.3,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,10.7,10.7,10.7,10.7,10.7,10.7,8.8,8.8,8.8,8.8,8.8,8.8,7.1,7.1,7.1,5.7,4.8,4.8,4.8,,4.8,4.8,5.7,10.3,10.3,4.8,5.7,5.7,7.1,7.1,7.1,15.2,8.8,8.8,8.8,10.7,10.7,18,21.5,23.6,18,8.1,8.1,7.1,10.7,10.7,11.3,18.8,11.9,12.9,12.9,14.5,14.5,45.2,45.2,24.2,24.2,24.2,24.2,24.2,22.7,12.3,10.7,8.8,8.8,8.8,8.1,7.1,5.7,10.7,10.7,10.8,10.8,10.8,10.8,12.8,12.8,12.8,12.8,,
Lam Tin,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,10.3,10.3,10.3,10.3,10.3,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,10.7,10.7,10.7,10.7,10.7,10.7,8.8,8.8,8.8,8.8,8.8,8.8,8.8,7.1,7.1,7.1,5.7,4.8,4.8,4.8,,4.8,4.8,10.3,10.3,4.8,4.8,5.7,5.7,7.1,7.1,15.2,8.8,8.8,8.8,10.7,10.7,18,21.5,23.6,18,9.7,9.7,8.8,11.8,11.8,12.1,21.2,12.8,14.5,14.5,16.8,16.8,46.7,46.7,24.2,24.2,24.2,24.2,24.2,22.7,12.3,10.7,8.8,8.8,8.8,9.7,7.1,7.1,11.8,11.8,11.8,11.8,11.8,11.8,15.3,15.3,15.3,15.3,,
Yau Tong,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,10.3,10.3,10.3,10.3,10.3,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,8.8,8.8,8.8,8.8,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,12.7,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,10.3,10.3,,4.8,4.8,5.7,5.7,5.7,15.2,8.8,8.8,10.7,10.7,10.7,21.5,23.6,27,21.5,9.7,9.7,8.8,11.8,11.8,12.1,21.2,12.8,14.5,14.5,16.8,16.8,46.7,46.7,24.7,24.7,24.7,24.7,24.7,23.2,12.5,10.7,10.7,8.8,8.8,9.7,8.8,7.1,11.8,11.8,11.8,11.8,11.8,11.8,15.3,15.3,15.3,15.3,,
Tiu Keng Leng,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,12.7,12.7,10.7,10.7,10.7,10.7,10.7,10.7,8.8,8.8,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,12.7,12.7,4.8,,4.8,4.8,5.7,5.7,15.2,10.7,10.7,10.7,10.7,10.7,21.5,23.6,27,21.5,9.7,9.7,8.8,11.8,11.8,12.1,21.2,12.8,14.5,14.5,16.8,16.8,46.7,46.7,24.7,24.7,24.7,24.7,24.7,23.2,12.5,10.7,10.7,10.7,10.7,9.7,8.8,8.8,11.8,11.8,11.8,11.8,11.8,11.8,15.3,15.3,15.3,15.3,,
North Point,8.8,8.8,7.1,7.1,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,7.1,7.1,8.8,8.8,8.8,7.1,7.1,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,10.3,10.3,10.3,10.3,12.7,,4.8,10.3,12.7,12.7,12.7,12.7,12.7,7.1,12.7,12.7,15.2,15.2,15.2,23.6,27,27,23.6,14.3,15.5,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,12.7,12.7,14.3,12.7,12.7,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
